ID;Código;Nombre del Documento;Puede tener + de 1;Categoría;Tipo de vigencia;Vigencia sugerida (días);campos documento;nombre campos;Comentario
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;primer otorgamiento;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;run;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;primer apellido;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;segundo apellido;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;primer nombre;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;segundo nombre;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;direccion;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;restricciones;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;clase;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;primer otorgamiento;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;actual otorgamiento;;
;CERT_PROFESIONAL_ESPECIALIZADA;Certificación profesional especializada;si;Formación y Títulos;periodo_desde_emision;1095;proximo control;;
11;LIC_INTERNA_FAENA;Licencia interna faena/mandante;no;Licencias de Conducir y Habilitaciones;fecha_expiracion;—;;;
1;ANT_PENALES;Certificado antecedentes penales;no;Antecedentes (penales, tránsito, otros);periodo_desde_emision;75;;;
2;ANT_FINES_ESP;Certificado antecedentes fines especiales;no;Antecedentes (penales, tránsito, otros);periodo_desde_emision;45;;;
3;ANT_LABORALES;Certificado antecedentes laborales;no;Antecedentes (penales, tránsito, otros);periodo_desde_emision;135;;;
4;ANT_INHABILIDADES;Certificado inhabilidades con menores;no;Antecedentes (penales, tránsito, otros);periodo_desde_emision;75;;;
5;ANT_OTRO_CERT;Otros certificados antecedentes;no;Antecedentes (penales, tránsito, otros);periodo_desde_emision;135;;;
6;ANT_HOJA_VIDA_COND;Hoja vida conductor;no;Antecedentes (penales, tránsito, otros);periodo_desde_emision;365;;;
7;ANT_ANTEC_TRANSITO;Certificado antecedentes tránsito;no;Antecedentes (penales, tránsito, otros);periodo_desde_emision;365;;;
